id,name,molecule_code,group_id,group_name_cache,class_type_id,class_type_name_cache,experimental_measurements_count,membrane_binding_energy,logp7_4_blm,logp0_blm,molecular_weight,pKa,wiki_name,pubchem,metabolome,chEBI,drugbank,KEGG,PDB,influx,efflux,intracellular_localization,annotation,created_at,updated_at,logp6_5_pampa_ds,logp7_4_pampa_ds,logp0_pampa_ds,logp6_5_caco,logp0_caco,logp0_bbb,logp0_pm,,,,
34,Cetirizine,Cetirizine,4,Zwitterions,4,Benzenoids,9,-4.8,-5.98,-0.87,389,7.91,Cetirizine,2678,HMDB05032,3561,DB00341,C07778,CZE,"SLC47A1(i), SLC47A2(i), SLC22A2(i), SLCO1B3(i), SLCO1B1(i)",ABCB1(s),,"Cetirizine is a medication used for the treatment of allergies, hay fever, angioedema, and hives. It is a second-generation H1-receptor antagonist antihistamine and works by blocking H1 histamine receptors. It is a major metabolite of hydroxyzine, and has the same basic side effects, including dry mouth. A potent second-generation histamine H1 antagonist that is effective in the treatment of allergic rhinitis, chronic urticaria, and pollen-induced asthma. Unlike many traditional antihistamines, it does not cause drowsiness or anticholinergic side effects. Cetirizine hydrochloride is a medication used for the treatment of allergies, hay fever, angioedema, and hives. It is a second-generation H1-receptor antagonist antihistamine and works by blocking H1 histamine receptors. It is a major metabolite of hydroxyzine, and has the same basic side effects, including dry mouth.",2018-08-16 02:02:14 UTC,2019-05-22 02:17:35 UTC,-5.75,-6.74,-2.03,-4.73,-3.7,-3.2,-2.59,,,,
35,Chlorambucil,Chlorambucil,3,Acids,2,Organonitrogen compounds,4,-4.2,-3.13,-0.39,304,4.6,Chlorambucil,2708,HMDB14436,28830,DB00291,C06900,CBL,SLCO1A2(s),,Cytoplasm,"Chlorambucil is a nitrogen mustard alkylating agent used as antineoplastic agent for the treatment of various malignant and nonmalignant diseases. Although it is less toxic than most other nitrogen mustards, it has been listed as a known carcinogen.",2018-08-16 02:02:14 UTC,2019-05-22 02:17:35 UTC,-3.23,-4.11,-1.59,-4.03,-3.58,-3.03,-2.2,,,,
36,Chloramphenicol,Chloramphenicol,1,Neutral,4,Benzenoids,3,-2.9,-5.06,-5.06,323,Chloramphenicol,5959,HMDB14589,17698,DB00446,C00918,CLM,SLC22A6(i),,Membrane,"An antibiotic first isolated from cultures of Streptomyces venequelae in 1947, but now produced synthetically. It has a relatively simple structure and was the first broad-spectrum antibiotic to be discovered. It acts by interfering with bacterial protein synthesis and is mainly bacteriostatic. ",2018-08-16 02:02:14 UTC,2019-03-21 00:34:12 UTC,-5.9,-5.9,-5.9,-4.77,-4.77,-4.68,-5.98,,,,,
37,Chloroacetic acid,Chloroacetic_acid,3,Acids,5,Organic acids and derivatives,1,-0.9,-7.18,-2.62,94,2.87,Chloroacetic acid,300,HMDB31331,27869,,C06755,R3W,,,"Cytoplasm, Extracellular","This carboxylic acid is a useful building block in organic synthesis. Like other chloroacetic acids and related halocarbons, it is a potentially dangerous alkylating agent.",2018-08-16 02:02:14 UTC,2019-05-22 02:17:35 UTC,-6.96,-7.85,-3.64,-5.07,-4.15,-3.82,-4,,,,
38,Chloroquine,Chloroquine,2,Bases,3,Organoheterocyclic compounds,5,-3.5,-0.16,1.78,320,8.4,Chloroquine,2719,HMDB14746,3638,DB00608,C07625,CLQ,"SLC47A1(i), SLC22A1(i), SLC22A2(i)","ABCB1(s,i)","Cytoplasm, Extracellular, Membrane","Chloroquine is a prototypical antimalarial agent with a mechanism that is not well understood. It has also been used to treat rheumatoid arthritis, systemic lupus erythematosus, and in the systemic therapy of amebic liver abscesses. The mechanism of plasmodicidal action of chloroquine is not completely certain. Like other quinoline derivatives, it is thought to inhibit heme polymerase activity. This results in accumulation of free heme, which is toxic to the parasites. nside red blood cells, the malarial parasite must degrade hemoglobin to acquire essential amino acids, which the parasite requires to construct its own protein and for energy metabolism. Digestion is carried out in a vacuole of the parasite cell.During this process, the parasite produces the toxic and soluble molecule heme. The heme moiety consists of a porphyrin ring called Fe(II)-protoporphyrin IX (FP). To avoid destruction by this molecule, the parasite biocrystallizes heme to form hemozoin, a non-toxic molecule. Hemozoin collects in the digestive vacuole as insoluble crystals. Chloroquine enters the red blood cell, inhabiting parasite cell, and digestive vacuole by simple diffusion. Chloroquine then becomes protonated (to CQ2+), as the digestive vacuole is known to be acidic (pH 4.7); chloroquine then cannot leave by diffusion. Chloroquine caps hemozoin molecules to prevent further biocrystallization of heme, thus leading to heme buildup. Chloroquine binds to heme (or FP) to form what is known as the FP-Chloroquine complex; this complex is highly toxic to the cell and disrupts membrane function. Action of the toxic FP-Chloroquine and FP results in cell lysis and ultimately parasite cell autodigestion. In essence, the parasite cell drowns in its own metabolic products.",2018-08-16 02:02:14 UTC,2019-05-22 02:17:35 UTC,-2.21,-1.37,0.41,-3.75,-3.02,-2.27,-0.44,,,,
39,Chlorothiazide,Chlorothiazide,3,Acids,3,Organoheterocyclic compounds,3,-1,-10.16,-9.39,296,6.85,Chlorothiazide,2720,HMDB15018,3640,DB00880,C07461,,"SLC12A3, SLC22A6(i), SLC22A7(i), SLC22A8(i), SLC22A11(i)","ABCG2(s,i)","Cytoplasm, Membrane","Chlorothiazide is a thiazide diuretic with actions and uses similar to those of hydrochlorothiazide. (From Martindale, The Extra Pharmacopoeia, 30th ed, p812)As a diuretic, chlorothiazide inhibits active chloride reabsorption at the early distal tubule via the Na-Cl cotransporter, resulting in an increase in the excretion of sodium, chloride, and water. Thiazides like chlorothiazide also inhibit sodium ion transport across the renal tubular epithelium through binding to the thiazide sensitive sodium-chloride transporter. This results in an increase in potassium excretion via the sodium-potassium exchange mechanism. The antihypertensive mechanism of chlorothiazide is less well understood although it may be mediated through its action on carbonic anhydrases in the smooth muscle or through its action on the large-conductance calcium-activated potassium (KCa) channel, also found in the smooth muscle.",2018-08-16 02:02:14 UTC,2019-05-22 02:17:35 UTC,-9.91,-10.6,-9.89,-5.88,-5.88,-6.21,-9.48,,,,
40,Chlorpheniramine,Chlorpheniramine,2,Bases,3,Organoheterocyclic compounds,5,-4.4,-0.35,1.49,275,9.15,Chlorpheniramine,2725,HMDB01944,52010,DB01114,C06905,,"SLC22A1(i), SLC22A2(i), SLC47A1(i), SLC47A2(i)",,,"Chlorpheniramine is a histamine H1 antagonist used to treat allergic reactions, hay fever, rhinitis, urticaria, and asthma. It has also been used in veterinary applications. One of the most widely used of the classical antihistaminics, it generally causes less drowsiness and sedation than Promethazine. ",2018-08-16 02:02:14 UTC,2019-05-22 02:17:35 UTC,-2.39,-1.55,0.15,-3.8,-3.1,-2.37,-0.67,,,,
41,Chlorpromazine,Chlorpromazine,2,Bases,3,Organoheterocyclic compounds,9,-4.1,-0.65,1.29,319,9.2,Chlorpromazine,2726,HMDB14620,3647,DB00477,C06906,Z80,"SLC22A1(i), SLC22A2(i), SLCO1B1(i), SLCO1B3(i)","ABCB1(s,i), ABCB11(i), ABCG2(i)","Cytoplasm, Extracellular, Membrane","Chlorpromazine is a prototypical phenothiazine antipsychotic drug. Like the other drugs in this class, chlorpromazine's antipsychotic actions are thought to be due to long-term adaptation by the brain to blocking dopamine receptors. Chlorpromazine has several other actions and therapeutic uses, including as an antiemetic and in the treatment of intractable hiccup. ",2018-08-16 02:02:14 UTC,2020-02-12 02:24:35 UTC,-2.68,-1.83,-0.03,-3.12,-3.15,-2.44,-0.75,,,,
42,Cimetidine,Cimetidine,2,Bases,3,Organoheterocyclic compounds,9,-1.8,-3.06,-3.66,252,6.76,Cimetidine,2756,HMDB14644,3699,DB00501,C06952,,"SLC22A1(s,i), SLC22A2(s,i), SLC22A3(s,i), SLC22A5(i), SLC22A11(i), SLC22A4(i), SLC22A6(s,i), SLC22A7(s,i), SLC22A8(s,i), SLC47A1(s,i), SLC47A1(s,i)","ABCB1(s,i,inducer), ABCB11(i), ABCG2(s)","Cytoplasm, Membrane","A histamine congener, it competitively inhibits histamine binding to histamine H2 receptors. Cimetidine has a range of pharmacological actions. It inhibits gastric acid secretion, as well as pepsin and gastrins output. It also blocks the activity of cytochrome P-450 which might explain proposals for use in neoadjuvant therapy. ",2018-08-16 02:02:14 UTC,2019-05-22 02:17:35 UTC,-4.65,-4.05,-4.6,-4.43,-4.41,-4.18,-4.84,,,,
43,Ciprofloxacin,Ciprofloxacin,4,Zwitterions,3,Organoheterocyclic compounds,5,-0.9,-8.12,-4.6,331,8.63,Ciprofloxacin,2764,HMDB14677,100241,DB00537,C05349,CPF,"SLC22A6(s), SLCO1A2(s,i)","ABCB1(s,i), ABCC1(s), ABCG2(s)","Cytoplasm, Extracellular, Membrane","Ciprofloxacin is a broad-spectrum antimicrobial carboxyfluoroquinoline.The bactericidal action of ciprofloxacin results from inhibition of the enzymes topoisomerase II (DNA gyrase) and topoisomerase IV, which are required for bacterial DNA replication, transcription, repair, strand supercoiling repair, and recombination.",2018-08-16 02:02:14 UTC,2019-05-22 02:17:35 UTC,-8.71,-8.72,-5.47,-5.55,-4.66,-4.52,-5.61,,,,
44,Citalopram,Citalopram,2,Bases,4,Benzenoids,7,-2.6,-2.8,-1.19,324,8.92,Citalopram,2771,HMDB05038,3723,DB00215,C07572,,"SLC6A2(s,i), SLC6A3(s,i), SLC6A4(s,i), SLC22A1(s,i), SLC22A3(s)","ABCB1(s,i), ABCC1(s)",,"Citalopram is an antidepressant drug used to treat depression associated with mood disorders. It is also used on occasion in the treatment of body dysmorphic disorder and anxiety; Citalopram belongs to a class of drugs known as selective serotonin reuptake inhibitors (SSRIs). It is one of the serotonin uptake inhibitors used as an antidepressant. The drug is also effective in reducing ethanol uptake in alcoholics and is used in depressed patients who also suffer from tardive dyskinesia in preference to tricyclic antidepressants, which aggravate this condition; Citalopram is an antidepressant drug used to treat depression associated with mood disorders. It is also used on occasion in the treatment of body dysmorphic disorder and anxiety. Citalopram belongs to a class of drugs known as selective serotonin reuptake inhibitors.",2018-08-16 02:02:14 UTC,2019-05-22 02:17:35 UTC,-4.64,-3.81,-2.32,-4.42,-3.78,-3.31,-2.84,,,,
45,Clemastine,Clemastine,2,Bases,4,Benzenoids,5,-6.2,2.05,3.83,344,9.24,Clemastine,26987,HMDB14428,3738,DB00283,,,SLC22A1(i),,Membrane,"Clemastine is an ethanolamine-derivative, first generation histamine H1 antagonist used in hay fever, rhinitis, allergic skin conditions, and pruritus. It causes drowsiness. Clemastine is a selective histamine H1 antagonist and binds to the histamine H1 receptor. This blocks the action of endogenous histamine, which subsequently leads to temporary relief of the negative symptoms brought on by histamine.",2018-08-16 02:02:14 UTC,2019-05-22 02:17:35 UTC,-0.13,0.67,2.31,-3.17,-2.5,-1.54,1.22,,,,
46,Clonidine,Clonidine,1,Neutral,4,Benzenoids,5,-2.6,-2.09,-2.09,230,8.25,Clonidine,2803,HMDB14714,3757,DB00575,,CLU,"SLC22A1(s,i), SLC22A2(i), SLC22A3(i), SLC22A4(i)",ABCB1(s),Membrane,"Clonidine, an imidazoline-derivative hypotensive agent is a centrally-acting adrenergic agonist. It crosses the blood-brain barrier and acts in the hypothalamus to induce a decrease in blood pressure. It may also be administered as an epidural infusion as an adjunct treatment in the management of severe cancer pain that is not relieved by opiate analgesics alone. Clonidine may be used for differential diagnosis of pheochromocytoma in hypertensive patients. Other uses for clonidine include prophylaxis of vascular migraine headaches, treatment of severe dysmenorrhea, management of vasomotor symptoms associated with menopause, rapid detoxification in the management of opiate withdrawal, treatment of alcohol withdrawal used in conjunction with benzodiazepines, management of nicotine dependence, topical use to reduce intraocular pressure in the treatment of open-angle and secondary glaucoma and hemorrhagic glaucoma associated with hypertension, and in the treatment of attention-deficit hyperactivity disorder.",2018-08-16 02:02:15 UTC,2019-03-21 00:34:13 UTC,-3.16,-3.16,-3.16,-4.01,-4.01,-3.63,-3.58,,,,
47,Codeine,Codeine,2,Bases,8,Alkaloids and derivatives,5,-1.5,-3.09,-1.25,299,8.2,Codeine,5284371,HMDB04995,16714,DB00318,C06174,,"SLC22A1(s,i)",,Membrane,"Codeine is a substance for pain-relief products. It is an opioid analgesic related to morphine, but with less potent analgesic properties and mild sedative effects. It also acts centrally to suppress cough. Codeine or methylmorphine is an opiate used for its analgesic, antitussive and antidiarrheal properties.  While codeine can be extracted from opium, most codeine is synthesized from morphine through the process of O-methylation. Codeine's analgesic activity is, most likely, due to its conversion to morphine. Opioids close N-type voltage-operated calcium channels (OP2-receptor agonist) and open calcium-dependent inwardly rectifying potassium channels (OP3 and OP1 receptor agonist). This results in hyperpolarization and reduced neuronal excitability.",2018-08-16 02:02:15 UTC,2020-03-05 01:04:12 UTC,-4.97,-4.09,-2.38,-4.51,-3.8,-3.33,-2.89,,,,
48,Colchicine,Colchicine,1,Neutral,8,Alkaloids and derivatives,4,-1.3,-5.4,-5.4,399,Colchicine,2833,HMDB15466,23359,DB01394,C07592,LOC,SLC22A3(i),"ABCB1(s,i), ABCB4(inducer), ABCC1(s)","Cytoplasm, Membrane","Colchicine is a major alkaloid from Colchicum autumnale L. and found also in other Colchicum species. Its primary therapeutic use is in the treatment of gout, but it has been used also in the therapy of familial Mediterranean fever (periodic disease). The precise mechanism of action has not been completely established. In patients with gout, colchicine apparently interrupts the cycle of monosodium urate crystal deposition in joint tissues and the resultant inflammatory response that initiates and sustains an acute attack. Colchicine decreases leukocyte chemotaxis and phagocytosis and inhibits the formation and release of a chemotactic glycoprotein that is produced during phagocytosis of urate crystals. Colchicine also inhibits urate crystal deposition, which is enhanced by a low pH in the tissues, probably by inhibiting oxidation of glucose and subsequent lactic acid production in leukocytes. Colchicine has no analgesic or antihyperuricemic activity. Colchicine inhibits microtubule assembly in various cells, including leukocytes, probably by binding to and interfering with polymerization of the microtubule subunit tubulin. ",2018-08-16 02:02:15 UTC,2019-03-21 00:34:13 UTC,-6.21,-6.21,-6.21,-4.86,-4.86,-4.8,-6.26,,,,,
49,Creatinine,Creatinine,1,Neutral,5,Organic acids and derivatives,7,0,-6.67,-6.67,113,Creatinine,588,HMDB00562,16737,DB11846,C00791,,"SLC22A1(i), SLC22A2(i)",,Cytoplasm,"Creatinine or creatine anhydride, is a breakdown product of creatine phosphate in muscle. The loss of water molecule from creatine results in the formation of creatinine. Creatinine is transferred to the kidneys by blood plasma, whereupon it is eliminated from the body by glomerular filtration and partial tubular excretion. Creatinine is usually produced at a fairly constant rate by the body. Measuring serum creatinine is a simple test and it is the most commonly used indicator of renal function. A rise in blood creatinine levels is observed only with marked damage to functioning nephrons; therefore this test is not suitable for detecting early kidney disease.",2018-08-16 02:02:15 UTC,2019-03-21 00:34:13 UTC,-7.38,-7.38,-7.38,-5.18,-5.18,-5.25,-7.28,,,,,
50,Desipramine,Desipramine,2,Bases,3,Organoheterocyclic compounds,6,-5.1,-0.4,2.63,266,10.28,Desipramine,2995,HMDB15282,47781,DB01151,C06943,DSM,"SLC6A2(i), SLC6A4(i),  SLC22A1(s,i), SLC22A2(i), SLC22A3(i), SLC22A4(i), SLC22A5(i)","ABCB1(s,i)","Cytoplasm, Extracellular, Membrane","Desipramine hydrochloride is a dibenzazepine-derivative tricyclic antidepressant (TCA). TCAs are structurally similar to phenothiazines. They contain a tricyclic ring system with an alkyl amine substituent on the central ring. In non-depressed individuals, desipramine does not affect mood or arousal, but may cause sedation. In depressed individuals, desipramine exerts a positive effect on mood. TCAs are potent inhibitors of serotonin and norepinephrine reuptake. Secondary amine TCAs, such as desipramine and nortriptyline, are more potent inhibitors of norepinephrine reuptake than tertiary amine TCAs, such as amitriptyline and doxepine. TCAs also down-regulate cerebral cortical &amp;beta;-adrenergic receptors and sensitize post-synaptic serotonergic receptors with chronic use. The antidepressant effects of TCAs are thought to be due to an overall increase in serotonergic neurotransmission. TCAs also block histamine, adrenergic and muscarinic receptors, which accounts for their sedative, hypotensive and anticholinergic effects (e.g. blurred vision, dry mouth, constipation, urinary retention), respectively. See toxicity section below for a complete listing of side effects. Desipramine exerts less anticholinergic and sedative side effects compared to tertiary amine TCAs, such as amitriptyline and clomipramine. ",2018-08-16 02:02:15 UTC,2019-05-22 02:17:36 UTC,-2.46,-1.6,1.2,-3.82,-2.81,-1.97,0.25,,,,
51,Dexamethasone,Dexamethasone,1,Neutral,9,Lipids and lipid-like molecules,5,-3.7,-5.68,-5.68,392,Dexamethasone,5743,HMDB15364,41879,DB01234,C15643,DEX,"SLC15A1(s), SLCO1A2(i)","ABCB1(s,i,inducer), ABCB11(inducer), ABCC2(inducer), ABCG2(i)","Cytoplasm, Extracellular, Membrane","Dexamethasone is an anti-inflammatory 9-fluoro-glucocorticoid. Dexamethasone is a glucocorticoid agonist. It is used for its antiinflammatory or immunosuppressive properties and ability to penetrate the CNS, dexamethasone is used alone to manage cerebral edema and with tobramycin to treat corticosteroid-responsive inflammatory ocular conditions. Dexamethasone can be used in the context of congenital adrenal hyperplasia, to prevent virilisation of a female fetus. Unbound dexamethasone crosses cell membranes and binds with high affinity to specific cytoplasmic glucocorticoid receptors. This complex binds to DNA elements (glucocorticoid response elements) which results in a modification of transcription and, hence, protein synthesis in order to achieve inhibition of leukocyte infiltration at the site of inflammation, interference in the function of mediators of inflammatory response, suppression of humoral immune responses, and reduction in edema or scar tissue. The antiinflammatory actions of  &lt;sub&gt;2&lt;/sub&gt; inhibitory proteins, lipocortins, which control the biosynthesis of potent mediators of inflammation such as prostaglandins and leukotrienes. Dexamethasone has been shown to exhibit anesthetic, anti-microbial, appetite stimulant, muscle building and sedative functions. Its potency is about 20-30 times that of hydrocortisone and 4-5 times of prednisone.",2018-08-16 02:02:15 UTC,2019-03-21 00:34:13 UTC,-6.46,-6.46,-6.46,-4.93,-4.93,-4.9,-6.48,,,,,
